nationality,flag
Canada,https://cdn.sofifa.org/flags/70@3x.png
Paraguay,https://cdn.sofifa.org/flags/58@3x.png
Romania,https://cdn.sofifa.org/flags/39@3x.png
Albania,https://cdn.sofifa.org/flags/1@3x.png
Burkina Faso,https://cdn.sofifa.org/flags/101@3x.png
Cape Verde,https://cdn.sofifa.org/flags/104@3x.png
New Zealand,https://cdn.sofifa.org/flags/198@3x.png
Northern Ireland,https://cdn.sofifa.org/flags/35@3x.png
Syria,https://cdn.sofifa.org/flags/186@3x.png
Tunisia,https://cdn.sofifa.org/flags/145@3x.png
Hungary,https://cdn.sofifa.org/flags/23@3x.png
Scotland,https://cdn.sofifa.org/flags/42@3x.png
Bulgaria,https://cdn.sofifa.org/flags/9@3x.png
Peru,https://cdn.sofifa.org/flags/59@3x.png
Angola,https://cdn.sofifa.org/flags/98@3x.png
Australia,https://cdn.sofifa.org/flags/195@3x.png
South Africa,https://cdn.sofifa.org/flags/140@3x.png
Jamaica,https://cdn.sofifa.org/flags/82@3x.png
Mozambique,https://cdn.sofifa.org/flags/130@3x.png
Iran,https://cdn.sofifa.org/flags/161@3x.png
Dominican Republic,https://cdn.sofifa.org/flags/207@3x.png
Mali,https://cdn.sofifa.org/flags/126@3x.png
Cuba,https://cdn.sofifa.org/flags/73@3x.png
Belarus,https://cdn.sofifa.org/flags/6@3x.png
Saudi Arabia,https://cdn.sofifa.org/flags/183@3x.png
Israel,https://cdn.sofifa.org/flags/26@3x.png
Benin,https://cdn.sofifa.org/flags/99@3x.png
Georgia,https://cdn.sofifa.org/flags/20@3x.png
Lithuania,https://cdn.sofifa.org/flags/30@3x.png
Kosovo,https://cdn.sofifa.org/flags/219@3x.png
Moldova,https://cdn.sofifa.org/flags/33@3x.png
Bolivia,https://cdn.sofifa.org/flags/53@3x.png
Togo,https://cdn.sofifa.org/flags/144@3x.png
Zimbabwe,https://cdn.sofifa.org/flags/148@3x.png
FYR Macedonia,https://cdn.sofifa.org/flags/19@3x.png
Guinea Bissau,https://cdn.sofifa.org/flags/119@3x.png
Honduras,https://cdn.sofifa.org/flags/81@3x.png
China PR,https://cdn.sofifa.org/flags/155@3x.png
Congo,https://cdn.sofifa.org/flags/107@3x.png
Chad,https://cdn.sofifa.org/flags/106@3x.png
Curacao,https://cdn.sofifa.org/flags/85@3x.png
Sierra Leone,https://cdn.sofifa.org/flags/138@3x.png
Gambia,https://cdn.sofifa.org/flags/116@3x.png
Iraq,https://cdn.sofifa.org/flags/162@3x.png
Trinidad & Tobago,https://cdn.sofifa.org/flags/93@3x.png
Cyprus,https://cdn.sofifa.org/flags/11@3x.png
Liechtenstein,https://cdn.sofifa.org/flags/29@3x.png
Oman,https://cdn.sofifa.org/flags/178@3x.png
Tanzania,https://cdn.sofifa.org/flags/143@3x.png
Zambia,https://cdn.sofifa.org/flags/147@3x.png
Libya,https://cdn.sofifa.org/flags/123@3x.png
Madagascar,https://cdn.sofifa.org/flags/124@3x.png
Estonia,https://cdn.sofifa.org/flags/208@3x.png
Guatemala,https://cdn.sofifa.org/flags/78@3x.png
New Caledonia,https://cdn.sofifa.org/flags/215@3x.png
Niger,https://cdn.sofifa.org/flags/132@3x.png
Korea DPR,https://cdn.sofifa.org/flags/166@3x.png
Bermuda,https://cdn.sofifa.org/flags/68@3x.png
Haiti,https://cdn.sofifa.org/flags/80@3x.png
Comoros,https://cdn.sofifa.org/flags/214@3x.png
Panama,https://cdn.sofifa.org/flags/87@3x.png
Palestine,https://cdn.sofifa.org/flags/180@3x.png
Latvia,https://cdn.sofifa.org/flags/28@3x.png
Equatorial Guinea,https://cdn.sofifa.org/flags/112@3x.png
Eritrea,https://cdn.sofifa.org/flags/113@3x.png
Luxembourg,https://cdn.sofifa.org/flags/31@3x.png
Kuwait,https://cdn.sofifa.org/flags/168@3x.png
Suriname,https://cdn.sofifa.org/flags/92@3x.png
Uganda,https://cdn.sofifa.org/flags/146@3x.png
Mauritania,https://cdn.sofifa.org/flags/127@3x.png
El Salvador,https://cdn.sofifa.org/flags/76@3x.png
Central African Rep.,https://cdn.sofifa.org/flags/105@3x.png
Azerbaijan,https://cdn.sofifa.org/flags/5@3x.png
St Kitts Nevis,https://cdn.sofifa.org/flags/89@3x.png
Fiji,https://cdn.sofifa.org/flags/197@3x.png
Guam,https://cdn.sofifa.org/flags/157@3x.png
Lebanon,https://cdn.sofifa.org/flags/171@3x.png
Qatar,https://cdn.sofifa.org/flags/182@3x.png
Philippines,https://cdn.sofifa.org/flags/181@3x.png
Somalia,https://cdn.sofifa.org/flags/139@3x.png
Kazakhstan,https://cdn.sofifa.org/flags/165@3x.png
Montserrat,https://cdn.sofifa.org/flags/84@3x.png
Mauritius,https://cdn.sofifa.org/flags/128@3x.png
India,https://cdn.sofifa.org/flags/159@3x.png
Liberia,https://cdn.sofifa.org/flags/122@3x.png
Puerto Rico,https://cdn.sofifa.org/flags/88@3x.png
Namibia,https://cdn.sofifa.org/flags/131@3x.png
Faroe Islands,https://cdn.sofifa.org/flags/16@3x.png
Guyana,https://cdn.sofifa.org/flags/79@3x.png
Thailand,https://cdn.sofifa.org/flags/188@3x.png
Barbados,https://cdn.sofifa.org/flags/66@3x.png
Antigua & Barbuda,https://cdn.sofifa.org/flags/63@3x.png
Gibraltar,https://cdn.sofifa.org/flags/205@3x.png
São Tomé & Príncipe,https://cdn.sofifa.org/flags/135@3x.png
Grenada,https://cdn.sofifa.org/flags/77@3x.png
Ethiopia,https://cdn.sofifa.org/flags/114@3x.png
Burundi,https://cdn.sofifa.org/flags/102@3x.png
Turkmenistan,https://cdn.sofifa.org/flags/189@3x.png
Swaziland,https://cdn.sofifa.org/flags/142@3x.png
Belize,https://cdn.sofifa.org/flags/67@3x.png
Malta,https://cdn.sofifa.org/flags/32@3x.png
St Lucia,https://cdn.sofifa.org/flags/90@3x.png
Sudan,https://cdn.sofifa.org/flags/141@3x.png
Vietnam,https://cdn.sofifa.org/flags/192@3x.png
Afghanistan,https://cdn.sofifa.org/flags/149@3x.png
Sri Lanka,https://cdn.sofifa.org/flags/185@3x.png
Kyrgyzstan,https://cdn.sofifa.org/flags/169@3x.png
San Marino,https://cdn.sofifa.org/flags/41@3x.png
Hong Kong,https://cdn.sofifa.org/flags/158@3x.png
